1310697125570: started, mId = 5104
1310697125570: retry sending LEADER_REQUEST
1310697125574: Sending UDP payload: 470
1310697125575: UserClient started
1310697125690: Received UDP payload: 2231
1310697125705: heard LEADER_REPLY from 5102
1310697125705: now NONLEADER following LEADER 5102
1310697127373: Received UDP payload: 470
1310697132377: Received UDP payload: 470
1310697135507: Received UDP payload: 487
1310697135530: heard LEADER_ELECT from node 5102, responding LEADER_NOMINATE
1310697135548: Sending UDP payload: 470
1310697135561: Received UDP payload: 470
1310697135565: Received UDP payload: 470
1310697135571: Received UDP payload: 470
1310697135576: Received UDP payload: 470
1310697135594: Received UDP payload: 470
1310697138688: Received UDP payload: 487
1310697138713: heard LEADER_ELECT from node 5102, responding LEADER_NOMINATE
1310697138736: Sending UDP payload: 470
1310697138738: Received UDP payload: 470
1310697138757: Received UDP payload: 470
1310697138762: Received UDP payload: 470
1310697140878: Received UDP payload: 470
1310697141511: Received UDP payload: 470
1310697142100: Received UDP payload: 470
1310697148171: Received UDP payload: 470
1310697148760: Received UDP payload: 470
1310697149370: Received UDP payload: 470
1310697150275: Received UDP payload: 470
1310697150580: retry sending LEADER_REQUEST
1310697150610: Received UDP payload: 470
1310697150612: Sending UDP payload: 470
1310697150873: Received UDP payload: 470
1310697151182: retry sending LEADER_REQUEST
1310697151200: Received UDP payload: 470
1310697151214: Sending UDP payload: 470
1310697151441: Received UDP payload: 470
1310697151784: retry sending LEADER_REQUEST
1310697151813: Received UDP payload: 470
1310697151816: Sending UDP payload: 470
1310697152080: LEADER_REQUEST timed out
1310697152191: Received UDP payload: 470
1310697152431: Received UDP payload: 470
1310697152808: Received UDP payload: 470
1310697153034: Received UDP payload: 470
1310697153277: Received UDP payload: 2244
1310697153299: Received UDP payload: 2261
1310697153324: Received UDP payload: 2261
1310697153348: Received UDP payload: 2261
1310697153368: Received UDP payload: 2261
1310697153389: Received UDP payload: 2261
1310697153413: Received UDP payload: 2261
1310697153438: Received UDP payload: 2261
1310697153458: Received UDP payload: 2261
1310697153478: Received UDP payload: 2261
1310697153498: Received UDP payload: 2261
1310697153522: Received UDP payload: 2261
1310697153542: Received UDP payload: 2261
1310697153562: Received UDP payload: 2261
1310697153572: Received UDP payload: 470
1310697154105: Received UDP payload: 470
1310697154216: Received UDP payload: 2261
1310697154881: cloud rejected leadership request or request failed, wait to retry
1310697154889: heard LEADER_REPLY from 5105
1310697154905: now NONLEADER following LEADER 5105
1310697163448: Received UDP payload: 470
1310697168459: Received UDP payload: 470
1310697169067: Received UDP payload: 470
1310697169166: Received UDP payload: 2261
1310697172691: Received UDP payload: 470
1310697172772: Received UDP payload: 2261
1310697173462: Received UDP payload: 470
1310697178559: Received UDP payload: 470
1310697179600: Received UDP payload: 470
1310697179677: Received UDP payload: 2261
1310697180263: Received UDP payload: 470
1310697180335: Received UDP payload: 2261
1310697183099: Received UDP payload: 470
1310697183483: Received UDP payload: 470
1310697183757: Received UDP payload: 470
1310697184340: Received UDP payload: 470
1310697185340: Received UDP payload: 470
1310697185942: Received UDP payload: 470
1310697186323: Received UDP payload: 470
1310697186402: Received UDP payload: 2261
1310697186549: Received UDP payload: 470
1310697186698: Received UDP payload: 470
1310697186768: Received UDP payload: 2261
1310697187746: Received UDP payload: 851
1310697187792: Received UDP payload: 881
1310697187950: Received UDP payload: 7634
1310697188031: Received UDP payload: 7651
1310697188098: Received UDP payload: 7651
1310697188174: Received UDP payload: 7651
1310697188489: Received UDP payload: 470
1310697189601: Received UDP payload: 470
1310697193485: Received UDP payload: 470
1310697194407: Received UDP payload: 470
1310697194610: Received UDP payload: 7651
1310697194633: Received UDP payload: 470
1310697196055: Received UDP payload: 470
1310697196186: Received UDP payload: 2261
1310697196283: Received UDP payload: 470
1310697196437: Received UDP payload: 7651
1310697197729: Received UDP payload: 698
1310697198419: moving from region (0,0), to (1,0)
1310697198421: retry sending LEADER_REQUEST
1310697198443: Sending UDP payload: 470
1310697198444: UserClient received REGION_CHANGE message.
1310697198490: Received UDP payload: 470
1310697198604: Received UDP payload: 7651
1310697198624: heard LEADER_REPLY from 5101
1310697198626: now NONLEADER following LEADER 5101
1310697199609: Received UDP payload: 470
1310697201659: Received UDP payload: 470
1310697201709: Received UDP payload: 470
1310697201835: Received UDP payload: 7651
1310697201921: Received UDP payload: 7651
1310697203498: Received UDP payload: 470
1310697203828: Received UDP payload: 470
1310697203971: Received UDP payload: 7651
1310697204054: Received UDP payload: 470
1310697204215: Received UDP payload: 7651
1310697204608: Received UDP payload: 470
1310697206111: Received UDP payload: 470
1310697206260: Received UDP payload: 7651
1310697207711: Received UDP payload: 698
1310697207777: Received UDP payload: 851
1310697207810: Received UDP payload: 881
1310697207824: Received UDP payload: 698
1310697208505: Received UDP payload: 470
1310697208818: Received UDP payload: 470
1310697208976: Received UDP payload: 7651
1310697209614: Received UDP payload: 470
1310697212231: Received UDP payload: 470
1310697212377: Received UDP payload: 7651
1310697213077: Received UDP payload: 698
1310697213150: Received UDP payload: 851
1310697213183: Received UDP payload: 881
1310697213195: Received UDP payload: 698
