1310975954566: started, mId = 5108
1310975954566: region (-1, -1) out of bounds, dormant
1310975954594: UserClient started
1310975979608: Reading spot in (1,1)
1310975979633: Sending UDP payload: 698
1310975979830: Received UDP payload: 470
1310975980394: Received UDP payload: 470
1310975980426: Received UDP payload: 470
1310975980441: Received UDP payload: 470
1310975980976: Received UDP payload: 470
1310975981025: Received UDP payload: 470
1310975981053: Received UDP payload: 470
1310975981590: Received UDP payload: 470
1310975981649: Received UDP payload: 470
1310975981986: Received UDP payload: 698
1310975982273: Received UDP payload: 698
1310975982476: Received UDP payload: 470
1310975982809: Received UDP payload: 470
1310975982892: Received UDP payload: 470
1310975983093: Received UDP payload: 470
1310975983238: moving from region (-1,-1), to (1,0)
1310975983240: sending LEADER_REQUEST
1310975983262: Sending UDP payload: 470
1310975983271: UserClient received REGION_CHANGE message.
1310975983381: Received UDP payload: 470
1310975983499: Received UDP payload: 470
1310975983505: Received UDP payload: 698
1310975983700: Received UDP payload: 470
1310975983846: sending LEADER_REQUEST
1310975983892: Sending UDP payload: 470
1310975983980: Received UDP payload: 470
1310975984109: Received UDP payload: 470
1310975984113: Received UDP payload: 470
1310975984449: sending LEADER_REQUEST
1310975984472: Received UDP payload: 698
1310975984487: Sending UDP payload: 470
1310975984518: Received UDP payload: 698
1310975984612: UserClient request timed out. (1,1)=?
1310975984622: Reading spot in (0,0)
1310975984658: Sending UDP payload: 698
1310975984683: Received UDP payload: 470
1310975984701: Received UDP payload: 470
1310975984752: LEADER_REQUEST timed out
1310975984829: Received UDP payload: 851
1310975984852: Received UDP payload: 881
1310975984864: Received UDP payload: 851
1310975984872: Received UDP payload: 881
1310975985180: Received UDP payload: 11489
1310975985457: Received UDP payload: 11489
1310975985588: Received UDP payload: 11642
1310975985591: Received UDP payload: 11642
1310975985593: Received UDP payload: 470
1310975985596: Received UDP payload: 11659
1310975985887: Received UDP payload: 12370
1310975985925: Received UDP payload: 470
1310975985953: Received UDP payload: 470
1310975986094: Received UDP payload: 11659
1310975986197: Received UDP payload: 11659
1310975986220: Received UDP payload: 851
1310975986349: Received UDP payload: 12461
1310975986479: Received UDP payload: 851
1310975986530: Received UDP payload: 11716
1310975986562: Received UDP payload: 470
1310975986656: Received UDP payload: 11716
1310975986796: Received UDP payload: 12427
1310975986924: Received UDP payload: 11716
1310975986957: Received UDP payload: 851
1310975987004: Received UDP payload: 881
1310975987017: Received UDP payload: 698
1310975987085: Received UDP payload: 851
1310975987112: Received UDP payload: 698
1310975987301: Received UDP payload: 11489
1310975987508: Received UDP payload: 698
1310975987531: Received UDP payload: 851
1310975987537: Received UDP payload: 698
1310975987545: Received UDP payload: 11642
1310975987552: Received UDP payload: 470
1310975988185: Received UDP payload: 851
1310975988228: Received UDP payload: 881
1310975988612: Received UDP payload: 698
1310975988656: Received UDP payload: 851
1310975988660: Received UDP payload: 698
1310975988663: Received UDP payload: 698
1310975988665: Received UDP payload: 851
1310975988670: Received UDP payload: 851
1310975988673: Received UDP payload: 851
